File_ID	File_Name	Data_Category	Data_Type	Project_ID	Case_ID	Sample_ID	Sample_Type
1ea2e9c8-2b46-4e63-8ab0-2fe141dd05a4	d86c65e4-30b0-4b59-9030-917b6cb0204e_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-PRAD	TCGA-CH-5762	TCGA-CH-5762-11A	Solid Tissue Normal
464be3fb-a9dd-4b38-83e6-33220467c44a	d86c65e4-30b0-4b59-9030-917b6cb0204e_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-PRAD	TCGA-CH-5762	TCGA-CH-5762-11A	Solid Tissue Normal
5b71ace8-b25e-4320-8a29-2f36845c4b67	992b4dcc-ea3d-438e-ab3c-19d870b425e1_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-PRAD	TCGA-XK-AAK1	TCGA-XK-AAK1-01A	Primary Tumor
95bfeb0e-828d-4cb2-b433-e00fc107cd3a	b7498b5a-9f18-4435-a29f-6940cc6f1ce5_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-PRAD	TCGA-CH-5762	TCGA-CH-5762-01A	Primary Tumor
ddac21b2-da3d-4df4-bcad-a4f88bebf93a	992b4dcc-ea3d-438e-ab3c-19d870b425e1_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-PRAD	TCGA-XK-AAK1	TCGA-XK-AAK1-01A	Primary Tumor
51d11841-2498-4c4b-82f3-62ef8e014f33	336aec34-0d0f-4295-95e5-96e457217f01_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-PRAD	TCGA-J4-A83M	TCGA-J4-A83M-01A	Primary Tumor
71d2c3f4-7ef3-4f1e-8a5e-c20bad79829d	f0bfdf18-c8e0-44ef-a018-aefc41ad6fe9_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-PRAD	TCGA-EJ-7321	TCGA-EJ-7321-01A	Primary Tumor
88973ca4-3067-4f90-902d-2ca7f6e3a983	f4e37914-c269-452d-b825-4b20e140a9a9_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-PRAD	TCGA-EJ-A7NM	TCGA-EJ-A7NM-01A	Primary Tumor
b74faaeb-1a0d-41e0-9185-373e70b9c42e	1a73de70-0ea4-49b1-ae06-38351e7f8f47_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-PRAD	TCGA-V1-A8WS	TCGA-V1-A8WS-01A	Primary Tumor
e166e68d-3452-445f-aa75-41690e668cbe	ddef80b8-16d1-4d13-bf3b-0442a39f800d_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-PRAD	TCGA-KC-A4BN	TCGA-KC-A4BN-01A	Primary Tumor
49a00020-44ac-419f-9b1f-9fe85f60640e	0704d3a1-66a5-4def-a9e6-d2411bf16e2c_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-PRAD	TCGA-KK-A8IL	TCGA-KK-A8IL-01A	Primary Tumor
b4a6317e-e6ab-4a69-9289-7482f3d80ed0	e7d81df4-8d57-43bc-9ad2-d0d84c547044_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-PRAD	TCGA-J4-8200	TCGA-J4-8200-01A	Primary Tumor
074f0230-d812-4373-98de-3d768c59aac5	e7d81df4-8d57-43bc-9ad2-d0d84c547044_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-PRAD	TCGA-J4-8200	TCGA-J4-8200-01A	Primary Tumor
f1655cbf-5939-4280-beef-2134a66987db	0c7c2aad-5516-4751-b4b6-d1dbb3154e7e_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-PRAD	TCGA-EJ-5501	TCGA-EJ-5501-01A	Primary Tumor
825b211a-6bfe-4e4e-9a29-77585ecb9a11	d4a6740c-7044-4955-86ce-d279ffecbbae_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-PRAD	TCGA-V1-A9OY	TCGA-V1-A9OY-01A	Primary Tumor
5b3618d0-854f-4450-9d09-f194be2e90ad	fea5c8b8-baa8-46ee-bf17-e9d598926264_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-PRAD	TCGA-J4-A83K	TCGA-J4-A83K-01A	Primary Tumor
53eff71f-ed85-4761-89ea-40f1021678b6	abd6b431-3249-47bf-bf07-26459d2e20df_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-PRAD	TCGA-V1-A9O7	TCGA-V1-A9O7-01A	Primary Tumor
aca6057e-f9ad-4ca2-a579-4c5e5935183a	d3460029-6fea-455d-b96b-bdd2e55e16cb_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-PRAD	TCGA-EJ-5497	TCGA-EJ-5497-01A	Primary Tumor
f064d4f7-4342-4d45-b23e-136241723eae	d3460029-6fea-455d-b96b-bdd2e55e16cb_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-PRAD	TCGA-EJ-5497	TCGA-EJ-5497-01A	Primary Tumor
f4d77c94-3d52-4745-b742-2eb9c0172486	125f6a0e-0fc6-4379-8b90-2416db4329dc_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-PRAD	TCGA-KK-A8IA	TCGA-KK-A8IA-01A	Primary Tumor
ef2a383e-3879-43c8-926c-9e8533b10e5b	2bef323a-5cb9-48fe-b48f-66c3f999786a_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-PRAD	TCGA-H9-A6BX	TCGA-H9-A6BX-01A	Primary Tumor
fb606d47-5ad2-437f-a91b-02ff5c9f1c23	f6eb6712-6dd0-4ebc-8088-4ccf844fbd93_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-PRAD	TCGA-KK-A6E6	TCGA-KK-A6E6-01A	Primary Tumor
6b143889-adc5-44be-8fe6-c33d712af127	93b4dff3-799e-4a30-aafe-8575ebe40656_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-PRAD	TCGA-KK-A6E3	TCGA-KK-A6E3-01A	Primary Tumor
9be0032a-af6c-45e3-afb6-455e4e271cdf	a873b7cf-9a39-4c36-94d4-9e9eba04425b_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-PRAD	TCGA-HC-A6AS	TCGA-HC-A6AS-01A	Primary Tumor
d4ec331c-5afd-4d2c-b043-fcacf982f7a4	a873b7cf-9a39-4c36-94d4-9e9eba04425b_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-PRAD	TCGA-HC-A6AS	TCGA-HC-A6AS-01A	Primary Tumor
6fa0a47a-2f0e-45e4-934d-cdcfd1811799	f24954b9-1a2b-4de1-a16c-f167741b6787_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-PRAD	TCGA-EJ-A8FO	TCGA-EJ-A8FO-01A	Primary Tumor
632a0bfe-e156-441e-8a5c-c2a34138cfc8	779d366c-6680-402f-94df-d3685d03ba5a_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-PRAD	TCGA-HC-A6AP	TCGA-HC-A6AP-01A	Primary Tumor
280dedc5-940b-4074-8c1d-77d4fe87461f	f24954b9-1a2b-4de1-a16c-f167741b6787_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-PRAD	TCGA-EJ-A8FO	TCGA-EJ-A8FO-01A	Primary Tumor
5e2415bc-d98a-4dd8-947e-90315f919235	53c6092a-a410-4cdc-acf7-d13fc2dd04c3_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-PRAD	TCGA-YL-A8SQ	TCGA-YL-A8SQ-01B	Primary Tumor
f9309b79-1ff2-4211-8246-3302f67bc526	dbc29b4c-e7ba-4636-9966-ac9e9f43d278_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-PRAD	TCGA-G9-6377	TCGA-G9-6377-01A	Primary Tumor
64218d0e-cfb0-48c9-ac6a-a602d6ac03d7	c7ee0576-3b8b-4b9a-b8c1-760e0ef049a5_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-PRAD	TCGA-EJ-8468	TCGA-EJ-8468-01A	Primary Tumor
