Gene	miRNA	Spearman_pval	Spearman_cor
1	ENSG00000003249.15	hsa-mir-106a	7.93028483499648e-16	0.336061453844026
2	ENSG00000003249.15	hsa-mir-141	0	0.427933772291446
3	ENSG00000003249.15	hsa-mir-148a	1.48835841247483e-17	0.352281349122058
4	ENSG00000003249.15	hsa-mir-153-1	5.8035129077346e-30	0.459393551860861
5	ENSG00000003249.15	hsa-mir-153-2	0	0.504818017014494
6	ENSG00000003249.15	hsa-mir-182	0	0.376153515606172
7	ENSG00000003249.15	hsa-mir-183	6.93510443378223e-17	0.34655822436857
8	ENSG00000003249.15	hsa-mir-19a	0	0.415093748015235
9	ENSG00000003249.15	hsa-mir-19b-1	0	0.478220573862734
10	ENSG00000003249.15	hsa-mir-19b-2	0	0.469923698232668
11	ENSG00000003249.15	hsa-mir-200c	2.80487699255123e-16	0.340706178730285
12	ENSG00000003249.15	hsa-mir-20a	0	0.40780731169548
13	ENSG00000003249.15	hsa-mir-20b	1.16021675885811e-14	0.323212970957727
14	ENSG00000003249.15	hsa-mir-210	1.88654395964295e-12	0.296175169647999
15	ENSG00000003249.15	hsa-mir-25	1.11486447909238e-18	0.359034163815714
16	ENSG00000003249.15	hsa-mir-3074	0	0.404585602118503
17	ENSG00000003249.15	hsa-mir-3170	1.3104794775826e-08	0.239832687968675
18	ENSG00000003249.15	hsa-mir-3651	3.49989999658814e-20	0.379196970587242
19	ENSG00000003249.15	hsa-mir-3664	6.42842154759398e-08	0.228413898312807
20	ENSG00000003249.15	hsa-mir-375	0	0.380217148563163
21	ENSG00000003249.15	hsa-mir-425	0	0.388107865070877
22	ENSG00000003249.15	hsa-mir-4449	8.2897560095185e-15	0.323407321821427
23	ENSG00000003249.15	hsa-mir-449b	1.78269002847574e-08	0.237668489742785
24	ENSG00000003249.15	hsa-mir-4668	1.41840148100814e-10	0.269517681151233
25	ENSG00000003249.15	hsa-mir-4746	3.27123857993522e-09	0.249343740034146
26	ENSG00000003249.15	hsa-mir-500a	4.95218381905383e-09	0.247355791088956
27	ENSG00000003249.15	hsa-mir-5586	2.18179753209209e-08	0.236236218428006
28	ENSG00000003249.15	hsa-mir-5694	8.79798211913455e-08	0.226088948536728
29	ENSG00000003249.15	hsa-mir-5706	6.67021879259746e-13	0.300533705258372
30	ENSG00000003249.15	hsa-mir-615	3.06244046173037e-15	0.328336156602177
31	ENSG00000003249.15	hsa-mir-7-1	0	0.364329618326366
