Gene	miRNA	Spearman_pval	Spearman_cor
1	ENSG00000003249.15	hsa-mir-1258	4.5604452867824e-10	-0.262208861805953
2	ENSG00000003249.15	hsa-mir-133b	1.90214490219132e-18	-0.36236476796135
3	ENSG00000003249.15	hsa-mir-143	0	-0.42052680077793
4	ENSG00000003249.15	hsa-mir-184	3.1777486730394e-10	-0.264493448639466
5	ENSG00000003249.15	hsa-mir-187	9.37819228712884e-12	-0.28571534825561
6	ENSG00000003249.15	hsa-mir-203b	4.70450642057453e-16	-0.337372705061642
7	ENSG00000003249.15	hsa-mir-204	7.03076784403867e-13	-0.301670422362465
8	ENSG00000003249.15	hsa-mir-221	0	-0.4338464865814
9	ENSG00000003249.15	hsa-mir-222	0	-0.409451125895692
10	ENSG00000003249.15	hsa-mir-23c	2.45925138351196e-19	-0.371106499660707
11	ENSG00000003249.15	hsa-mir-27b	0	-0.415509897047777
12	ENSG00000003249.15	hsa-mir-378c	0	-0.406921491045869
13	ENSG00000003249.15	hsa-mir-378d-1	1.3317739583681e-08	-0.239719844759078
14	ENSG00000003249.15	hsa-mir-378d-2	5.83088323648563e-12	-0.288443870354766
15	ENSG00000003249.15	hsa-mir-4770	4.29580784319906e-10	-0.262588436420497
16	ENSG00000003249.15	hsa-mir-4786	5.49651805733923e-12	-0.288780881686443
17	ENSG00000003249.15	hsa-mir-496	1.08175915516891e-11	-0.284889707755843
18	ENSG00000003249.15	hsa-mir-508	3.31363546032228e-12	-0.291650709214295
19	ENSG00000003249.15	hsa-mir-6499	3.68216000560582e-11	-0.277692407541579
20	ENSG00000003249.15	hsa-mir-6510	2.48117551005645e-23	-0.407455533639335
21	ENSG00000003249.15	hsa-mir-6718	1.36806405307402e-07	-0.222775124808855
22	ENSG00000003249.15	hsa-mir-6761	4.40024781350984e-10	-0.262435987237909
23	ENSG00000003249.15	hsa-mir-6843	5.19073043595925e-10	-0.261384819719187
24	ENSG00000003249.15	hsa-mir-760	1.17651858290237e-07	-0.223913140762809
25	ENSG00000003249.15	hsa-mir-873	1.2147501974524e-09	-0.255900139381076
26	ENSG00000003249.15	hsa-mir-889	4.19200809607331e-11	-0.278075567034959
27	ENSG00000003249.15	hsa-mir-891a	2.53179812672102e-12	-0.293163720563312
28	ENSG00000003249.15	hsa-mir-892a	4.09849108009546e-09	-0.247825347002035
29	ENSG00000004809.14	hsa-mir-187	6.30135556954478e-08	-0.228560978096025
30	ENSG00000004809.14	hsa-mir-450b	2.77337443353176e-08	-0.234523264495311
31	ENSG00000004809.14	hsa-mir-675	5.93793007475155e-09	-0.245306383940822
32	ENSG00000004838.14	hsa-mir-1258	1.63493677054659e-10	-0.268640318253792
33	ENSG00000004838.14	hsa-mir-133b	2.90844488054493e-22	-0.398165910690489
34	ENSG00000004838.14	hsa-mir-143	0	-0.441766370710108
35	ENSG00000004838.14	hsa-mir-184	1.98178627341574e-07	-0.219953028535789
36	ENSG00000004838.14	hsa-mir-204	1.31580940894831e-09	-0.256284947823137
37	ENSG00000004838.14	hsa-mir-221	0	-0.37128733555751
38	ENSG00000004838.14	hsa-mir-222	1.51672611547481e-16	-0.343343296263475
39	ENSG00000004838.14	hsa-mir-23c	7.86445381680053e-14	-0.311926045562629
40	ENSG00000004838.14	hsa-mir-27b	0	-0.364397214288022
41	ENSG00000004838.14	hsa-mir-326	3.55831864214183e-11	-0.277896283651149
42	ENSG00000004838.14	hsa-mir-378c	0	-0.36853055785919
43	ENSG00000004838.14	hsa-mir-378d-1	6.60294373208149e-10	-0.259845383825691
44	ENSG00000004838.14	hsa-mir-378d-2	4.50787561433777e-08	-0.231013857211925
45	ENSG00000004838.14	hsa-mir-4770	2.41390967030907e-10	-0.266217636253582
46	ENSG00000004838.14	hsa-mir-4786	3.43428569480296e-09	-0.249016996454839
47	ENSG00000004838.14	hsa-mir-6510	4.32953454384286e-17	-0.348467371685295
48	ENSG00000004838.14	hsa-mir-6761	1.62422687339146e-08	-0.238325388975185
49	ENSG00000004838.14	hsa-mir-889	5.50560813150197e-08	-0.230200781881832
50	ENSG00000004838.14	hsa-mir-891a	5.31158195094607e-09	-0.246066678360143
51	ENSG00000004848.8	hsa-mir-675	2.14910534642781e-11	-0.280881873750854
52	ENSG00000005421.9	hsa-mir-203b	2.73692315345332e-07	0.217463698505558
53	ENSG00000005421.9	hsa-mir-221	4.83605834114997e-08	0.230501490882943
54	ENSG00000005421.9	hsa-mir-222	5.60065597834168e-10	0.260899648377006
55	ENSG00000005421.9	hsa-mir-378c	2.39233263804118e-10	0.266273738611206
56	ENSG00000005421.9	hsa-mir-6510	3.12150378566501e-08	0.233674087105151
57	ENSG00000005513.10	hsa-mir-133b	7.98171660600965e-15	-0.323596402932047
58	ENSG00000005513.10	hsa-mir-143	1.94671408102674e-12	-0.295998340945718
59	ENSG00000005513.10	hsa-mir-184	1.03429731968961e-11	-0.285149432457602
60	ENSG00000005513.10	hsa-mir-187	3.154399323542e-10	-0.264539862164148
61	ENSG00000005513.10	hsa-mir-204	1.3986931394936e-08	-0.240116606315213
62	ENSG00000005513.10	hsa-mir-221	3.69675706410045e-17	-0.349006700312976
63	ENSG00000005513.10	hsa-mir-222	4.57024544856331e-15	-0.327797829301894
64	ENSG00000005513.10	hsa-mir-23c	1.56611468007761e-13	-0.308309262780231
65	ENSG00000005513.10	hsa-mir-27b	1.16343216020286e-10	-0.271819476926844
66	ENSG00000005513.10	hsa-mir-323b	1.5796738499846e-07	-0.22168436982019
67	ENSG00000005513.10	hsa-mir-326	1.78875635134219e-10	-0.26808339945347
68	ENSG00000005513.10	hsa-mir-378c	6.59392526754674e-10	-0.260811033410999
69	ENSG00000005513.10	hsa-mir-378d-2	2.64507112918107e-07	-0.217728310752516
70	ENSG00000005513.10	hsa-mir-486-1	1.4536176593712e-08	-0.239843670301754
71	ENSG00000005513.10	hsa-mir-486-2	2.66635817537442e-07	-0.218212160462459
72	ENSG00000005513.10	hsa-mir-496	4.86741511346612e-08	-0.230454308888856
73	ENSG00000005513.10	hsa-mir-6510	3.00721957555483e-07	-0.216731908185988
74	ENSG00000005513.10	hsa-mir-6761	1.86615975426106e-07	-0.220413355302298
75	ENSG00000005513.10	hsa-mir-873	7.27651081887128e-08	-0.227498710137053
76	ENSG00000005513.10	hsa-mir-889	3.58762877483103e-09	-0.249558456907429
77	ENSG00000006118.15	hsa-mir-1258	3.2238318758763e-14	-0.316536120723241
78	ENSG00000006118.15	hsa-mir-133b	1.49177670704465e-30	-0.463608504578881
79	ENSG00000006118.15	hsa-mir-143	5.1729739283083e-16	-0.337996944254187
80	ENSG00000006118.15	hsa-mir-184	3.62062960639426e-23	-0.406048137946797
81	ENSG00000006118.15	hsa-mir-187	1.16458898614124e-19	-0.374235203683512
82	ENSG00000006118.15	hsa-mir-203b	2.94761404741118e-11	-0.279015374934228
83	ENSG00000006118.15	hsa-mir-204	2.6248397785449e-14	-0.319098002987785
84	ENSG00000006118.15	hsa-mir-221	0	-0.489773576862551
85	ENSG00000006118.15	hsa-mir-222	0	-0.459608933663132
86	ENSG00000006118.15	hsa-mir-23c	1.07442971488769e-13	-0.310293888490288
87	ENSG00000006118.15	hsa-mir-27b	0	-0.362478495259934
88	ENSG00000006118.15	hsa-mir-296	1.93553436347045e-09	-0.252839975808445
89	ENSG00000006118.15	hsa-mir-326	8.98429112323462e-09	-0.242459442517162
90	ENSG00000006118.15	hsa-mir-3622a	1.21524316956741e-09	-0.255897491387605
91	ENSG00000006118.15	hsa-mir-378c	2.92404667878427e-16	-0.34052453737054
92	ENSG00000006118.15	hsa-mir-378d-1	8.16331996656339e-10	-0.258479963214165
93	ENSG00000006118.15	hsa-mir-378d-2	6.89489804661126e-12	-0.287484867656857
94	ENSG00000006118.15	hsa-mir-4770	1.43761198756742e-07	-0.222399683854138
95	ENSG00000006118.15	hsa-mir-4786	1.33843363853079e-07	-0.222940703415919
96	ENSG00000006118.15	hsa-mir-488	1.68635060713587e-08	-0.238060756735665
97	ENSG00000006118.15	hsa-mir-496	4.13470868301456e-09	-0.247765889431007
98	ENSG00000006118.15	hsa-mir-508	2.74747759218997e-11	-0.27943197682904
99	ENSG00000006118.15	hsa-mir-6499	3.16309923463092e-08	-0.233578823109686
100	ENSG00000006118.15	hsa-mir-6510	7.61189191934509e-15	-0.32383310620625
101	ENSG00000006118.15	hsa-mir-6761	4.17701577377141e-11	-0.276939496939158
102	ENSG00000006118.15	hsa-mir-873	2.23271349713133e-19	-0.371512919609404
103	ENSG00000006118.15	hsa-mir-889	3.68532229679688e-09	-0.249375648842844
104	ENSG00000006468.14	hsa-mir-133b	1.72582248361915e-08	0.237897478138138
105	ENSG00000006468.14	hsa-mir-143	1.8948408901643e-18	0.358040860482737
106	ENSG00000006468.14	hsa-mir-221	3.61976424229878e-08	0.233281757687509
107	ENSG00000006468.14	hsa-mir-23c	9.56168365700654e-12	0.285603464119876
108	ENSG00000006468.14	hsa-mir-27b	5.48870842900469e-16	0.337730643874504
109	ENSG00000006468.14	hsa-mir-496	4.80607660658104e-08	0.23054688126126
110	ENSG00000006468.14	hsa-mir-889	5.88095775402871e-08	0.229712370068275
111	ENSG00000006625.18	hsa-mir-1258	1.52925980780482e-11	-0.282876525355235
112	ENSG00000006625.18	hsa-mir-133b	7.62146134848364e-31	-0.465670728452638
113	ENSG00000006625.18	hsa-mir-143	0	-0.472290431919236
114	ENSG00000006625.18	hsa-mir-184	4.42933880943764e-15	-0.326520034095526
115	ENSG00000006625.18	hsa-mir-187	7.31816968368749e-15	-0.32402928674495
116	ENSG00000006625.18	hsa-mir-203b	1.60961028037907e-15	-0.331472839905821
117	ENSG00000006625.18	hsa-mir-204	2.36838005804269e-13	-0.307586855524096
118	ENSG00000006625.18	hsa-mir-221	0	-0.485600054893463
119	ENSG00000006625.18	hsa-mir-222	0	-0.460855339027291
120	ENSG00000006625.18	hsa-mir-23c	2.14606904364003e-26	-0.432568042535369
121	ENSG00000006625.18	hsa-mir-27b	0	-0.480490908561915
122	ENSG00000006625.18	hsa-mir-296	2.61627549034873e-08	-0.234940826377779
123	ENSG00000006625.18	hsa-mir-326	2.55059265612205e-26	-0.431977714139784
124	ENSG00000006625.18	hsa-mir-3622a	1.53656966631473e-09	-0.254361326032994
125	ENSG00000006625.18	hsa-mir-378c	9.25559653063148e-19	-0.359329996411653
126	ENSG00000006625.18	hsa-mir-378d-1	3.32166471210087e-13	-0.304303741575914
127	ENSG00000006625.18	hsa-mir-378d-2	4.63812054142043e-15	-0.326292510165601
128	ENSG00000006625.18	hsa-mir-4770	2.44967869625439e-17	-0.351051724967882
129	ENSG00000006625.18	hsa-mir-4786	1.52394314970226e-12	-0.295993505991474
130	ENSG00000006625.18	hsa-mir-490	5.83530762058896e-10	-0.260637254699788
131	ENSG00000006625.18	hsa-mir-496	5.56844709372259e-12	-0.288706722985068
132	ENSG00000006625.18	hsa-mir-6499	7.08250905783059e-13	-0.300206812428524
133	ENSG00000006625.18	hsa-mir-6510	3.49934526700737e-32	-0.474955562870159
134	ENSG00000006625.18	hsa-mir-6718	2.43250803712926e-07	-0.218376298327057
135	ENSG00000006625.18	hsa-mir-6761	1.37106251373672e-14	-0.3208822430522
136	ENSG00000006625.18	hsa-mir-760	7.61415932802335e-10	-0.258929083185598
137	ENSG00000006625.18	hsa-mir-873	1.29588583596382e-09	-0.255477794482191
138	ENSG00000006625.18	hsa-mir-889	4.7464388901015e-12	-0.290925435383256
139	ENSG00000006625.18	hsa-mir-891a	5.50639537886331e-12	-0.288770642191718
140	ENSG00000007264.15	hsa-mir-143	1.55758314245575e-09	-0.255166879991355
141	ENSG00000007264.15	hsa-mir-187	1.80303763589338e-09	-0.25330838714134
142	ENSG00000007264.15	hsa-mir-221	5.89665374564793e-08	-0.229692609005051
143	ENSG00000007264.15	hsa-mir-23c	6.2682033184435e-11	-0.274500220820688
144	ENSG00000007264.15	hsa-mir-27b	1.7538004098045e-11	-0.28329503989292
145	ENSG00000007264.15	hsa-mir-378c	1.21143125072284e-08	-0.241132295797303
146	ENSG00000007264.15	hsa-mir-378d-2	1.23996449124434e-08	-0.240219471023353
147	ENSG00000007264.15	hsa-mir-873	5.05514035804096e-08	-0.230177842308542
148	ENSG00000007516.14	hsa-mir-133b	2.41186622314648e-11	-0.280202052875651
149	ENSG00000007516.14	hsa-mir-143	6.45699073595671e-15	-0.326111284536924
150	ENSG00000007516.14	hsa-mir-187	5.43293042043896e-13	-0.301648881397799
151	ENSG00000007516.14	hsa-mir-221	8.47546716586373e-13	-0.300639419879353
152	ENSG00000007516.14	hsa-mir-222	4.58091627433058e-11	-0.277538007780025
153	ENSG00000007516.14	hsa-mir-23c	3.74669934083628e-15	-0.327345234386201
154	ENSG00000007516.14	hsa-mir-27b	1.68429104179599e-11	-0.283534651899392
155	ENSG00000007516.14	hsa-mir-4770	1.08494160545026e-08	-0.241150697955868
156	ENSG00000007516.14	hsa-mir-4786	2.46821011519969e-08	-0.235357214186459
157	ENSG00000007516.14	hsa-mir-496	2.7082771208195e-07	-0.217545293911028
158	ENSG00000007516.14	hsa-mir-6761	1.7458011504759e-11	-0.282102117473847
159	ENSG00000007516.14	hsa-mir-873	3.00243513267435e-13	-0.304845622093449
160	ENSG00000007516.14	hsa-mir-889	1.09002758638975e-07	-0.225090031331129
161	ENSG00000008300.17	hsa-mir-1258	4.62311654346984e-09	-0.247009994700491
162	ENSG00000008300.17	hsa-mir-133b	1.50404459247829e-27	-0.441511186220983
163	ENSG00000008300.17	hsa-mir-143	5.49523127752729e-12	-0.29008168902693
164	ENSG00000008300.17	hsa-mir-184	4.25475283550206e-15	-0.326718527006348
165	ENSG00000008300.17	hsa-mir-187	2.17784907644498e-13	-0.306560145117795
166	ENSG00000008300.17	hsa-mir-204	3.05181908265652e-10	-0.265760778693811
167	ENSG00000008300.17	hsa-mir-221	0	-0.429095226959457
168	ENSG00000008300.17	hsa-mir-222	0	-0.407373880847497
169	ENSG00000008300.17	hsa-mir-23c	1.02183703656363e-07	-0.224971196070961
170	ENSG00000008300.17	hsa-mir-27b	2.22365005680286e-10	-0.267766198475306
171	ENSG00000008300.17	hsa-mir-378c	8.26878339769108e-16	-0.335870260088406
172	ENSG00000008300.17	hsa-mir-378d-1	7.56925087567599e-08	-0.227206608619778
173	ENSG00000008300.17	hsa-mir-378d-2	9.80730597260299e-12	-0.285456935007982
174	ENSG00000008300.17	hsa-mir-4786	2.8380295454639e-08	-0.234358027693537
175	ENSG00000008300.17	hsa-mir-6510	2.52801590894651e-10	-0.265928838510448
176	ENSG00000008300.17	hsa-mir-6761	5.39965485913475e-13	-0.301682199762323
177	ENSG00000008300.17	hsa-mir-873	7.22800761633475e-14	-0.312365751363416
178	ENSG00000008735.14	hsa-mir-1258	2.47392133593241e-17	-0.351007239642557
179	ENSG00000008735.14	hsa-mir-133b	4.37017588971532e-24	-0.413837893350921
