baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSG00000003249.15	1805.37723263602	1.3584693312493	0.11812269423481	1.27889479633122e-31	7.51925008001836e-30
ENSG00000004809.14	23.8529175067574	1.66112827248613	0.278472666225462	1.3107140281337e-10	6.13251064246066e-10
ENSG00000004838.14	142.351256436805	2.02749866683721	0.231345478326007	8.5343970576598e-20	1.31127701495203e-18
ENSG00000004848.8	284.074470889211	1.07391117539729	0.264942485307227	6.6011954900631e-06	1.76113966926992e-05
ENSG00000005421.9	109.44963556897	1.21709104080277	0.460138166123858	0.00668048897201493	0.0109873895114134
ENSG00000005513.10	183.108343291724	1.25270832402916	0.148917085836893	4.32767823267523e-18	5.34469913572467e-17
ENSG00000006118.15	2703.42755909328	1.64927756916449	0.137591391240795	2.86569870790659e-34	2.393358210671e-32
ENSG00000006468.14	1521.72973061559	2.12631319666874	0.298991310429761	1.96386582089729e-05	4.92224107305104e-05
ENSG00000006625.18	1855.9668485587	1.26251909826996	0.125174320349414	8.20597517896478e-25	2.37470279846713e-23
ENSG00000006788.14	7.40000276804624	2.0409057062682	0.388611691785476	5.62310796148436e-09	2.14542483347298e-08
ENSG00000007264.15	538.610772681923	2.5341573589222	0.212035120884755	1.54822800715722e-34	1.40953262839639e-32
ENSG00000007516.14	1776.63294147217	1.02911379724727	0.112316704114858	1.04369884330693e-20	1.80818563859064e-19
ENSG00000008300.17	391.107241185186	1.71168230858155	0.216728541428877	1.60398497801925e-16	1.61650318290293e-15
ENSG00000008735.14	1128.9757917592	1.28802398872073	0.147032291891899	2.04559839795513e-19	3.0610463926861e-18
ENSG00000009694.13	1392.55765011577	1.76011922936107	0.273226830265636	5.26714883315425e-12	3.01126587680381e-11
ENSG00000011083.9	4.39484423489726	1.27796322980341	0.269378089592255	2.97417187195567e-07	8.90047164919886e-07
ENSG00000011332.19	32.4611280772085	1.12590087224465	0.119673954558344	6.83855558381395e-22	1.40927205729441e-20
ENSG00000015413.9	28.3120374128653	1.58451109925308	0.283755952548651	0.030540956607608	0.0443054362756153
ENSG00000016490.16	2.08646145338756	3.58376369145261	0.658498624650667	0.0101916800708581	0.0157817979220471
ENSG00000021826.17	220.095429050684	1.7369156429676	0.314020858730554	0.0102402334895917	0.0162316310731142
ENSG00000021852.13	1.0838516048748	4.43647707670663	1.40737685230695	0.00201407842450887	0.00354170012127012
ENSG00000027001.10	4414.59943936999	1.62469750523339	0.214488906864439	2.10160157884247e-15	1.81189428247858e-14
ENSG00000029559.7	4.84733835848068	2.03088317994814	0.595070031985521	6.88138817741775e-05	0.000149259193225025
ENSG00000033122.21	256.471655665126	1.17404964791202	0.224052209329693	1.8826755925784e-08	6.77095122618567e-08
ENSG00000034053.14	711.794857401715	1.13609661450737	0.131697510251137	8.51190168875937e-19	1.22477414434572e-17
ENSG00000035499.13	89.5573313608611	1.46995127469657	0.186859003209068	6.64401886839671e-24	1.69619360244971e-22
ENSG00000039139.9	2342.38080831104	2.25950690567284	0.184059614012204	4.00040026260294e-36	3.79846817755674e-34
ENSG00000043355.12	216.061883531123	3.40145315015597	0.296995197594512	2.69667722957115e-51	6.59557059308904e-49
ENSG00000043591.6	1790.88085899073	1.00323570071477	0.139050344402552	9.72135447472437e-14	6.96953189375266e-13
ENSG00000049089.15	13496.6838621768	1.72021893618833	0.25722737976341	3.31157065844428e-19	4.78324365990409e-18
ENSG00000050344.9	375.696288662617	1.09576452076329	0.140103861336941	7.91333050333831e-16	7.37757270136128e-15
ENSG00000051180.17	130.66798402188	1.01630285166191	0.150590126451485	2.5834890981071e-12	1.54983303548076e-11
ENSG00000051341.14	69.6054919294233	1.1136572467749	0.181520781341487	1.32481374610738e-10	6.19195506179945e-10
ENSG00000055957.11	4.87539775734781	1.04237379668546	0.34613598971241	0.000378216905268269	0.00060114892091791
ENSG00000056487.16	428.099296210871	1.40025940643227	0.159640572237125	1.42877845032935e-19	2.06540679352522e-18
ENSG00000059588.10	2403.44054513877	1.01775275009809	0.0947521890855623	1.37930655807595e-27	5.66922516308458e-26
ENSG00000060718.22	64.4717090904765	1.45647866304851	0.303145085835627	0.000435785491848569	0.000895870554022553
ENSG00000063015.20	29.1283259716431	1.35600866585127	0.214270725999188	6.38460141135833e-05	0.00014295782048876
ENSG00000063438.19	2.57460198112671	1.31335456908521	0.272112876689195	1.81049796810982e-07	5.57709980826936e-07
ENSG00000064218.5	2.25571565568943	1.26601047860663	0.657613375247938	0.00642828492139025	0.0104181530156897
ENSG00000066279.18	159.682192202409	1.32538884104205	0.190523080265931	3.15262219300994e-13	2.03919463508734e-12
ENSG00000069018.19	23.3283746528375	1.73516205834178	0.331020623966335	8.04167418963317e-09	3.05931469871727e-08
ENSG00000069482.7	177.953053130269	1.73894348953865	0.213647625214737	1.12852089967276e-29	5.75171596935231e-28
ENSG00000070388.11	34.4796476051094	1.09880352330873	0.164479904050969	3.69476591421606e-12	2.170619017958e-11
ENSG00000070748.19	11.6235463143981	3.10191497924929	0.465468401015027	0.000103338322782874	0.00022349562936186
ENSG00000070886.12	34.8072406068794	2.35952538123895	0.271354286770833	1.90640047719353e-29	9.89847085427017e-28
ENSG00000071539.14	209.086761897586	1.17003447132403	0.135403942896794	7.12449096198103e-19	9.72701547244058e-18
ENSG00000072571.20	184.082908973372	1.35820158327325	0.176233022215093	1.13239552291003e-15	9.89275677944255e-15
ENSG00000073146.16	152.526061888822	2.21300102762791	0.218539778962375	1.06373562084609e-25	3.42515166984079e-24
