File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
ec485657-fee9-4cc2-b10e-34a052bb6266	e6fe2557-b30e-483a-b406-01f84f8de1f6.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-PRAD	TCGA-EJ-7321	TCGA-EJ-7321-01A	Primary Tumor
25587fcb-1f1a-4d13-8b5f-19c5a4192f09	2709c277-9092-4563-9a9e-c9f7649fd90d.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-PRAD	TCGA-J4-A83M	TCGA-J4-A83M-01A	Primary Tumor
39b87387-3aa2-4a14-b7b5-021008968a86	b033e234-dee9-4394-aed4-c896030e5bd6.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-PRAD	TCGA-EJ-5501	TCGA-EJ-5501-01A	Primary Tumor
90a9091c-83db-4613-9832-a61ca6480942	2c835276-7681-48e5-bb48-ecbc73ab8c1a.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-PRAD	TCGA-V1-A9OY	TCGA-V1-A9OY-01A	Primary Tumor
efce5193-b73c-4142-9cc3-cc3e1eab6b7a	8a00d9f9-b370-4fa2-8ff9-c10ca616b16c.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-PRAD	TCGA-EJ-5497	TCGA-EJ-5497-01A	Primary Tumor
b5943141-3c31-495d-9593-88f132dd5a17	86f4d50c-41b3-4b8d-ba8c-2e38d0833906.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-PRAD	TCGA-KK-A6E3	TCGA-KK-A6E3-01A	Primary Tumor
c6613be3-96aa-44bd-8aa0-d282750618ce	56e56265-05ba-4184-a8ac-d17fecb100a8.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-PRAD	TCGA-HC-A6AS	TCGA-HC-A6AS-01A	Primary Tumor
c001044e-3e1b-4d9c-bd63-2ddc10dce91f	4f8eab45-9ddf-457c-9514-9ae601b97e67.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-PRAD	TCGA-HC-8260	TCGA-HC-8260-11A	Solid Tissue Normal
834c28aa-e723-4937-bd2e-a4ea222c78d2	c9df9c68-a20b-4027-b560-9793afd0a0be.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-PRAD	TCGA-EJ-A8FO	TCGA-EJ-A8FO-11A	Solid Tissue Normal
1fa375d0-69d5-4795-a26f-45d457047345	434ce3e8-36be-4744-8bc3-37854b3ff7fc.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-PRAD	TCGA-G9-6377	TCGA-G9-6377-01A	Primary Tumor
16cacfe9-4f47-4fec-b29a-af3bcfecad87	c8eacb47-4062-40e1-9b9a-a6f8ff0c077e.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-PRAD	TCGA-EJ-8468	TCGA-EJ-8468-01A	Primary Tumor
8ac01566-c18a-42dc-8c46-8b64ad4f1de4	c7e6eadf-db9e-4adc-94f9-8f15d022e271.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-PRAD	TCGA-EJ-7312	TCGA-EJ-7312-01B	Primary Tumor
acd8aaa5-a074-4879-9426-b1bc041d4d22	55b6fb12-fb46-4d22-bcd2-01eb9e9fb02d.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-PRAD	TCGA-G9-6342	TCGA-G9-6342-11A	Solid Tissue Normal
fa7b6b84-2736-4733-8b9c-fb2215c63541	6371d677-e569-4723-bd5f-145d105c86ed.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-PRAD	TCGA-EJ-A8FP	TCGA-EJ-A8FP-01A	Primary Tumor
5f56ca30-8f23-48c5-9785-100262ef2360	6015fba0-ea12-410a-af7f-a20de8ef3e1f.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-PRAD	TCGA-2A-A8W1	TCGA-2A-A8W1-01A	Primary Tumor
afc0b704-3f57-4da3-a6eb-88fb6cc954db	2f836f7a-7c24-4bd4-819d-1721bca5ce31.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-PRAD	TCGA-ZG-A9NI	TCGA-ZG-A9NI-01A	Primary Tumor
