mirbase_id	log2FoldChange	pvalue	padj	ensembl_gene_id_version	chromosome_name	start_position	end_position	strand
hsa-mir-1-1	-0.667694192147587	3.15253288954563e-07	2.63523881871963e-06	ENSG00000199017.2	20	62554306	62554376	+
hsa-mir-1-2	-0.639996000029407	1.0177505915991e-06	8.14738965655787e-06	ENSG00000284453.1	18	21829004	21829088	-
hsa-mir-100	-0.607768405155677	6.20663939421759e-14	1.05512869701699e-12	ENSG00000207994.1	11	122152229	122152308	-
hsa-mir-103a-1	0.780093724460849	3.27414315906407e-26	1.30362594727998e-24	ENSG00000199035.2	5	168560896	168560973	-
hsa-mir-103a-2	0.773262767412337	4.55367913735008e-26	1.76659398328479e-24	ENSG00000199024.1	20	3917494	3917571	+
hsa-mir-106a	1.34127114966825	5.08224954413459e-22	1.32576613108201e-20	ENSG00000284157.1	X	134170198	134170278	-
hsa-mir-10a	-1.38564984895967	7.27755579494451e-23	2.0019894395911e-21	ENSG00000284038.1	17	48579838	48579947	-
hsa-mir-122	4.30419617647769	0.000249618915539035	0.00145259007388677	ENSG00000284440.1	18	58451074	58451158	+
hsa-mir-1224	-3.8555785115767	2.72114195689273e-32	1.47038849313525e-30	ENSG00000221120.1	3	184241405	184241489	+
hsa-mir-1247	-0.502963936995368	0.000444777965171001	0.00253943042001405	ENSG00000283857.1	14	101560287	101560422	-
hsa-mir-1248	0.779325332195962	0.000217765061179231	0.00127704859520999	ENSG00000283958.1	3	186786672	186786777	+
hsa-mir-1251	-2.90861101795615	6.50062005330302e-38	5.78555184743968e-36	ENSG00000221479.3	12	97491909	97491978	+
hsa-mir-1255a	1.05488957323337	3.17101207443833e-06	2.27381102778445e-05	ENSG00000221265.1	4	101330302	101330414	-
hsa-mir-1258	-1.30286055458269	5.37946959801401e-12	7.82609375172615e-11	ENSG00000221240.1	2	179860836	179860908	-
hsa-mir-126	0.771911024850433	7.25843985962015e-17	1.40795121892376e-15	ENSG00000199161.1	9	136670602	136670686	+
hsa-mir-1269a	2.69124767615586	3.12062803421046e-12	4.58399050073828e-11	ENSG00000221563.1	4	66276824	66276928	+
hsa-mir-1269b	3.34098060397998	8.22644071786397e-05	0.000499863646832457	ENSG00000265503.1	17	12917268	12917342	-
hsa-mir-127	-0.791832211783917	1.49737306101671e-18	3.38138125569894e-17	ENSG00000207608.3	14	100882979	100883075	+
hsa-mir-1271	-0.728401341207767	3.2957520950222e-10	3.77763099982469e-09	ENSG00000221464.1	5	176367946	176368031	+
hsa-mir-1275	1.39789710629241	1.36555106929321e-05	9.02105404311246e-05	ENSG00000221697.1	6	33999972	34000051	-
hsa-mir-1277	0.56029366976782	0.00309238671756393	0.0151137602757109	ENSG00000221463.3	X	118386394	118386471	+
hsa-mir-1284	1.05815774165759	0.00465864226474016	0.0220266429579746	ENSG00000221264.1	3	71541970	71542089	-
hsa-mir-129-1	-0.635951852477666	0.00421916163196478	0.020074187261518	ENSG00000207705.2	7	128207872	128207943	+
hsa-mir-129-2	-0.643894173751138	6.31119900524419e-05	0.000388164394103027	ENSG00000199077.3	11	43581394	43581483	+
hsa-mir-1291	1.80462617272038	2.55053914117935e-11	3.35562236574292e-10	ENSG00000281842.2	12	48654444	48654530	-
hsa-mir-1296	0.594586842218843	2.71915551752793e-07	2.29836999889372e-06	ENSG00000221063.3	10	63372957	63373048	-
hsa-mir-1301	0.510801673549698	1.61231688692098e-06	1.2574409535626e-05	ENSG00000221445.3	2	25328640	25328721	-
hsa-mir-1304	2.04522049749737	2.94233591779037e-10	3.42442634124371e-09	ENSG00000284458.1	11	93733674	93733764	-
hsa-mir-1305	-1.07164644775675	0.000674380790625651	0.00369687730513265	ENSG00000221227.1	4	182169293	182169378	+
hsa-mir-130b	0.770984868975969	7.05637183764172e-13	1.11211360316166e-11	ENSG00000283871.1	22	21653304	21653385	+
hsa-mir-133a-1	-0.844889910018969	1.69201956831272e-08	1.64104205567765e-07	ENSG00000283927.1	18	21825698	21825785	-
hsa-mir-133a-2	-0.707660880510915	1.91597463871538e-06	1.44943481418819e-05	ENSG00000284508.1	20	62564912	62565013	+
hsa-mir-133b	-1.69566895440655	2.47562801051844e-21	6.24270863319066e-20	ENSG00000199080.1	6	52148923	52149041	+
hsa-mir-134	-0.664241057962735	2.3861702772847e-12	3.53948591130564e-11	ENSG00000207993.3	14	101054687	101054759	+
hsa-mir-1343	0.610842130587982	0.00478202692762253	0.0224695861537046	ENSG00000251862.2	11	34941837	34941920	+
hsa-mir-135b	-1.06715318020096	2.75348780935705e-07	2.31445947530956e-06	ENSG00000199059.3	1	205448302	205448398	-
hsa-mir-136	-1.0934850920933	4.14683614656986e-20	9.95898903136539e-19	ENSG00000207942.2	14	100884702	100884783	+
hsa-mir-137	2.18540807110491	0.000938147585922309	0.00496299754370788	ENSG00000284202.1	1	98046070	98046171	-
hsa-mir-139	-0.660347050493003	1.5129660002873e-11	2.06226807066188e-10	ENSG00000272036.1	11	72615063	72615130	-
hsa-mir-141	1.11664431173521	2.68440773938549e-28	1.19456144402654e-26	ENSG00000207708.1	12	6964097	6964191	+
hsa-mir-143	-1.26975746607346	3.64282332305541e-25	1.19817210603975e-23	ENSG00000284182.1	5	149428918	149429023	+
hsa-mir-144	-0.833596835270665	1.48856136615117e-07	1.30941473662018e-06	ENSG00000283819.1	17	28861533	28861618	-
hsa-mir-146b	1.10167408830344	1.29540971777807e-23	3.76914404422735e-22	ENSG00000202569.4	10	102436512	102436584	+
hsa-mir-147b	0.967148800084571	0.00179779745042692	0.00900684616720506	ENSG00000284386.1	15	45433050	45433129	+
hsa-mir-148a	1.36489866419782	4.0765141665967e-40	4.74443533389293e-38	ENSG00000199085.3	7	25949919	25949986	-
hsa-mir-152	-0.979077774503943	6.30018550375965e-26	2.38304516679709e-24	ENSG00000207947.3	17	48037161	48037247	-
hsa-mir-153-1	1.78672788320205	8.70532412586465e-21	2.12437990361826e-19	ENSG00000207647.1	2	219294111	219294200	-
hsa-mir-153-2	2.35237579200093	2.13142987719527e-42	3.58317044910715e-40	ENSG00000207960.1	7	157574336	157574422	-
hsa-mir-15a	0.538217639775913	8.65371081022425e-13	1.33602698529278e-11	ENSG00000283785.1	13	50049119	50049201	-
hsa-mir-17	0.997801472321923	5.14098167709177e-33	2.9916558759384e-31	ENSG00000284536.1	13	91350605	91350688	+
hsa-mir-181c	-0.502732649239767	1.68961470764086e-10	2.0451096421285e-09	ENSG00000207613.1	19	13874699	13874808	+
hsa-mir-182	1.83191507182509	5.18027446663679e-42	7.83775526802147e-40	ENSG00000207990.3	7	129770383	129770492	-
hsa-mir-183	1.5372283719282	5.8842609154007e-44	1.11286084562516e-41	ENSG00000207691.1	7	129774905	129775014	-
hsa-mir-184	-2.61127966304532	3.8954786888421e-18	8.54182500901174e-17	ENSG00000207695.1	15	79209788	79209871	+
hsa-mir-187	-2.44620315415334	1.45118607210682e-23	4.14272552282569e-22	ENSG00000207797.1	18	35904818	35904926	-
hsa-mir-18a	0.835536413458476	1.47255157401468e-11	2.02542775589474e-10	ENSG00000283815.1	13	91350751	91350821	+
hsa-mir-18b	0.598687741922716	0.000860672087774072	0.0046177193929155	ENSG00000283931.1	X	134170041	134170111	-
hsa-mir-190a	-0.538625220845868	2.39614225258798e-06	1.77713883733609e-05	ENSG00000211137.1	15	62823957	62824041	+
hsa-mir-190b	0.812046813146741	0.000869467561145239	0.00463568045106742	ENSG00000215938.3	1	154193665	154193743	-
