hgnc_symbol	log2FoldChange	pvalue	padj	ensembl_gene_id_version	chromosome_name	start_position	end_position	strand
TNMD	-3.2544909471305	4.44934818216214e-27	1.69941718832918e-25	ENSG00000000005.6	X	100584936	100599885	+
AOC1	-1.84966149168463	2.61150462185552e-08	9.1840043315011e-08	ENSG00000002726.21	7	150824627	150861504	+
WNT16	-1.20396018359296	1.16489556650331e-09	4.84986685969358e-09	ENSG00000002745.13	7	121325367	121341104	+
KLHL13	-1.07078810534764	5.11236435130436e-21	9.40047912887527e-20	ENSG00000003096.14	X	117897813	118117340	-
CYP26B1	-1.87938427363349	9.60791822232138e-23	2.10807367772678e-21	ENSG00000003137.9	2	72129238	72147862	-
DBNDD1	1.3584693312493	1.27889479633122e-31	7.51925008001836e-30	ENSG00000003249.15	16	90004871	90019890	-
CD38	-1.42268594300006	2.0866062387286e-08	7.43423267468425e-08	ENSG00000004468.13	4	15778275	15853232	+
PDK4	-3.01299419059478	7.70721899696844e-48	1.64686421996168e-45	ENSG00000004799.8	7	95583499	95596516	-
SLC22A16	1.66112827248613	1.3107140281337e-10	6.13251064246066e-10	ENSG00000004809.14	6	110424687	110476641	-
ZMYND10	2.02749866683721	8.5343970576598e-20	1.31127701495203e-18	ENSG00000004838.14	3	50341110	50345732	-
ARX	1.07391117539729	6.6011954900631e-06	1.76113966926992e-05	ENSG00000004848.8	X	25003694	25016420	-
CALCR	-1.02058653936679	2.12103013352599e-07	6.46455528282587e-07	ENSG00000004948.16	7	93424486	93574730	-
MPO	-1.13645657112216	7.89485237394083e-14	5.67080248535939e-13	ENSG00000005381.8	17	58269855	58280935	-
PON1	1.21709104080277	0.00668048897201493	0.0109873895114134	ENSG00000005421.9	7	95297676	95324532	-
SOX8	1.25270832402916	4.32767823267523e-18	5.34469913572467e-17	ENSG00000005513.10	16	981770	986979	+
TMEM132A	1.64927756916449	2.86569870790659e-34	2.393358210671e-32	ENSG00000006118.15	11	60924460	60937159	+
ETV1	2.12631319666874	1.96386582089729e-05	4.92224107305104e-05	ENSG00000006468.14	7	13891229	13991425	-
GGCT	1.26251909826996	8.20597517896478e-25	2.37470279846713e-23	ENSG00000006625.18	7	30496621	30504841	-
MYH13	2.0409057062682	5.62310796148436e-09	2.14542483347298e-08	ENSG00000006788.14	17	10300865	10373130	-
PROM1	-1.36703520071062	1.38960246251868e-08	5.23951661394077e-08	ENSG00000007062.12	4	15963076	16084378	-
CEACAM21	-1.62508509371846	1.56780719485895e-22	3.46059668533243e-21	ENSG00000007129.18	19	41549518	41586844	+
SLC13A2	-6.29940151260055	4.85761303184983e-59	1.51357737086703e-56	ENSG00000007216.16	17	28473293	28497781	+
MATK	2.5341573589222	1.54822800715722e-34	1.40953262839639e-32	ENSG00000007264.15	19	3777970	3802129	-
BAIAP3	1.02911379724727	1.04369884330693e-20	1.80818563859064e-19	ENSG00000007516.14	16	1333638	1349441	+
SELE	-1.04255266514514	1.88652812443468e-05	4.74118621092779e-05	ENSG00000007908.16	1	169722640	169764705	-
NOX1	-1.61761001818424	1.10341866256015e-21	2.10950800544215e-20	ENSG00000007952.18	X	100843324	100874359	-
CAMK1G	-1.3119305976275	3.28980699950844e-16	3.18334962140057e-15	ENSG00000008118.10	1	209583714	209613939	+
TFAP2B	-3.91999046087671	8.51772726423541e-30	4.37224206162627e-28	ENSG00000008196.13	6	50818723	50847619	+
CELSR3	1.71168230858155	1.60398497801925e-16	1.61650318290293e-15	ENSG00000008300.17	3	48636463	48662886	-
MAPK8IP2	1.28802398872073	2.04559839795513e-19	3.0610463926861e-18	ENSG00000008735.14	22	50600793	50613981	+
RHOBTB2	-1.21118516606234	1.60375468251451e-44	2.9121483159523e-42	ENSG00000008853.18	8	22987417	23020509	+
TENM1	1.76011922936107	5.26714883315425e-12	3.01126587680381e-11	ENSG00000009694.13	X	124375903	124963817	-
HFE	-1.31212489847941	1.23085855748027e-27	5.64197070907679e-26	ENSG00000010704.19	6	26087281	26098343	+
SLC6A7	1.27796322980341	2.97417187195567e-07	8.90047164919886e-07	ENSG00000011083.9	5	150190062	150222788	+
DPF1	1.12590087224465	6.83855558381395e-22	1.40927205729441e-20	ENSG00000011332.22	19	38211006	38229714	-
DCN	-1.00349702741187	1.11862193252327e-10	5.53236629060306e-10	ENSG00000011465.18	12	91140484	91183217	-
GABRA3	-1.59401663261448	3.26072259646593e-07	9.97189613222919e-07	ENSG00000011677.13	X	152166234	152451315	-
SLC7A14	-1.29715527524672	2.73100807970717e-07	8.41197472795444e-07	ENSG00000013293.6	3	170459548	170586075	-
MAMLD1	-1.54958278160028	1.43290366993859e-28	6.84773177844402e-27	ENSG00000013619.15	X	150361422	150514178	+
DPEP1	1.58451109925308	0.030540956607608	0.0443054362756153	ENSG00000015413.10	16	89613308	89638456	+
CLCA1	3.58376369145261	0.0101916800708581	0.0157817979220471	ENSG00000016490.16	1	86468368	86500259	+
CLCA4	-2.40768179580227	1.01766856701537e-12	6.42674044779245e-12	ENSG00000016602.9	1	86547078	86580754	+
SLC38A5	-1.08094656369667	1.28350711679146e-13	9.03714710017038e-13	ENSG00000017483.16	X	48458537	48470260	-
CNTN1	-1.26197401332267	5.80110469001487e-15	4.83928645775878e-14	ENSG00000018236.15	12	40692439	41072415	+
ATP1A2	-1.59464763216499	4.54792724876355e-15	3.91730076266137e-14	ENSG00000018625.15	1	160115759	160143591	+
MARCO	-1.04813563357203	3.20303539028573e-06	8.61145783696264e-06	ENSG00000019169.11	2	118942194	118994660	+
CYP24A1	-1.05839238156343	0.000120109306179387	0.000256765539784941	ENSG00000019186.10	20	54153446	54173986	-
SNAI2	-1.50729545998701	4.62187981935695e-19	6.50914677546091e-18	ENSG00000019549.13	8	48917598	48921740	-
ADGRA2	-1.11392256066859	1.47464334906459e-14	1.15962847619284e-13	ENSG00000020181.18	8	37784191	37844896	+
SERPINB1	-1.13881045150021	7.14055588735888e-17	7.58530976911724e-16	ENSG00000021355.13	6	2832332	2841959	-
NRXN3	-1.41173379620301	2.21297295288355e-17	2.42467437446314e-16	ENSG00000021645.20	14	78170373	79868291	+
CPS1	1.7369156429676	0.0102402334895917	0.0162316310731142	ENSG00000021826.18	2	210477682	210679107	+
C8B	4.43647707670663	0.00201407842450887	0.00354170012127012	ENSG00000021852.14	1	56929207	56974383	-
FHL1	-1.46273354245893	7.91769498638999e-16	7.5475735625663e-15	ENSG00000022267.19	X	136146702	136211359	+
GRAMD1B	-1.87804581872567	2.29421789756662e-44	3.82478260302413e-42	ENSG00000023171.20	11	123358428	123627774	+
EHD2	-1.13376463954437	2.37751463375675e-19	3.50439424040529e-18	ENSG00000024422.12	19	47713422	47743134	+
MIPEP	1.62469750523339	2.10160157884247e-15	1.81189428247858e-14	ENSG00000027001.10	13	23730189	23889400	-
IBSP	2.03088317994814	6.88138817741775e-05	0.000149259193225025	ENSG00000029559.7	4	87799554	87812435	+
LRRC7	1.17404964791202	1.8826755925784e-08	6.77095122618567e-08	ENSG00000033122.21	1	69567922	70151945	+
APBA2	1.13609661450737	8.51190168875937e-19	1.22477414434572e-17	ENSG00000034053.15	15	28884483	29118315	+
VCL	-1.3866779664572	3.81746128038025e-29	1.83197510857832e-27	ENSG00000035403.18	10	73995193	74121363	+
DEPDC1B	1.46995127469657	6.64401886839671e-24	1.69619360244971e-22	ENSG00000035499.13	5	60596912	60700190	-
DNAH5	2.25950690567284	4.00040026260294e-36	3.79846817755674e-34	ENSG00000039139.11	5	13690328	14011818	-
CAPG	-1.20643015013222	1.99577773122562e-18	2.46776831827332e-17	ENSG00000042493.16	2	85394753	85418432	-
TG	-2.87145442828161	0.00023261122229029	0.000497267962204254	ENSG00000042832.12	8	132866958	133134903	+
ZIC2	3.40145315015597	2.69667722957115e-51	6.59557059308904e-49	ENSG00000043355.12	13	99981784	99986765	+
ADRB1	1.00323570071477	9.72135447472437e-14	6.96953189375266e-13	ENSG00000043591.6	10	114043866	114046904	+
GPM6B	-1.17691030504753	2.86607213543423e-23	7.11232103986561e-22	ENSG00000046653.15	X	13770939	13938638	-
WWC3	-1.4007009800637	7.86879608851068e-71	4.36621346512209e-68	ENSG00000047644.20	X	10015254	10144474	+
ROS1	-2.69918701875275	1.90618545065894e-20	3.0777194702783e-19	ENSG00000047936.11	6	117287353	117425942	-
LMO3	-2.17719771938967	7.18028746237329e-35	6.14014754231768e-33	ENSG00000048540.16	12	16548372	16610594	-
COL9A2	1.72021893618833	3.31157065844428e-19	4.78324365990409e-18	ENSG00000049089.15	1	40300489	40317813	-
KITLG	-1.274721046573	4.12006056001779e-27	1.68948656774461e-25	ENSG00000049130.16	12	88492793	88580851	-
DKK3	-1.03809938038869	1.14063824093127e-13	7.7539216224537e-13	ENSG00000050165.19	11	11956207	12009769	-
NFE2L3	1.09576452076329	7.91333050333831e-16	7.37757270136128e-15	ENSG00000050344.9	7	26152198	26187137	+
PTGER3	-1.1122573343173	2.9845040283787e-12	1.78858557252304e-11	ENSG00000050628.21	1	70852353	71047816	-
COL23A1	-1.31042331884577	1.62668111292514e-14	1.27165680953934e-13	ENSG00000050767.18	5	178237476	178590393	-
RAD51	1.01630285166191	2.5834890981071e-12	1.54983303548076e-11	ENSG00000051180.17	15	40694774	40732340	+
POLQ	1.1136572467749	1.32481374610738e-10	6.19195506179945e-10	ENSG00000051341.15	3	121431431	121545988	-
METTL24	-1.51193579189245	5.52977608678421e-21	9.68559171353208e-20	ENSG00000053328.9	6	110243940	110358349	-
KCNQ1	-1.886075037736	4.83423183358597e-47	1.02200751339108e-44	ENSG00000053918.18	11	2444684	2849105	+
CBLN4	-2.28957322588063	4.31047333898144e-17	4.52571763113631e-16	ENSG00000054803.4	20	55997357	56005519	-
CCDC85A	-1.80876373681607	4.40395960777386e-27	1.68948656774461e-25	ENSG00000055813.6	2	56183990	56386172	+
ITIH1	1.04237379668546	0.000378216905268269	0.00060114892091791	ENSG00000055957.11	3	52777595	52792068	+
NPFFR2	-4.65720964017495	3.31406136232915e-40	4.25306103004963e-38	ENSG00000056291.19	4	72031902	72148305	+
PHF21B	1.40025940643227	1.42877845032935e-19	2.06540679352522e-18	ENSG00000056487.16	22	44881162	45010005	-
SERPINB3	-1.16469905214357	0.00011513946293198	0.000255828647200598	ENSG00000057149.16	18	63655197	63661893	-
F7	-1.21517023099901	8.0063790838027e-11	3.90208178022871e-10	ENSG00000057593.14	13	113105788	113120685	+
RASGRF1	-1.40239551545015	1.10721906663771e-11	5.91957455191321e-11	ENSG00000058335.16	15	78959906	79090780	-
ATP2B4	-1.44968318058783	4.7239016555397e-25	1.44965444917265e-23	ENSG00000058668.15	1	203626787	203744081	+
DGKG	-1.38943913022733	8.75698636372039e-15	6.77390897468818e-14	ENSG00000058866.15	3	186105668	186362234	-
TARBP1	1.01775275009809	1.37930655807595e-27	5.66922516308458e-26	ENSG00000059588.10	1	234391313	234479179	-
COL11A1	1.45647866304851	0.000435785491848569	0.000895870554022553	ENSG00000060718.22	1	102876467	103108872	-
PRDM6	-1.08345739565416	4.4893560269775e-12	2.63246001543960e-11	ENSG00000061455.11	5	123089241	123194266	+
ARSF	-2.13233700522561	1.04300257010529e-15	9.19690199413989e-15	ENSG00000062096.15	X	3041471	3112727	+
SEZ6	1.35600866585127	6.38460141135833e-05	0.00014295782048876	ENSG00000063015.21	17	28954901	29006440	-
AHRR	1.31335456908521	1.81049796810982e-07	5.57709980826936e-07	ENSG00000063438.20	5	321714	438291	+
CCN5	-1.5715987096877	1.05183732809187e-09	4.85857909082893e-09	ENSG00000064205.11	20	44714844	44728509	+
DMRT3	1.26601047860663	0.00642828492139025	0.0104181530156897	ENSG00000064218.5	9	976655	991732	+
MYLK	-2.01131964488456	4.29131655261639e-32	2.83509220679227e-30	ENSG00000065534.20	3	123610049	123884332	-
COL17A1	-1.86209017165532	3.4779089084122e-18	4.26799297654921e-17	ENSG00000065618.21	10	104031286	104085880	-
FAM107B	-1.12054971385373	4.41025593629989e-24	1.17394594972301e-22	ENSG00000065809.14	10	14518557	14774897	-
ME1	-1.82201101647187	3.34698771410978e-38	3.78018682406286e-36	ENSG00000065833.9	6	83210402	83431051	-
CTNNA2	-1.23385729625552	4.05901462158969e-06	1.11111983491432e-05	ENSG00000066032.19	2	79185231	80648861	+
ASPM	1.32538884104205	3.15262219300994e-13	2.03919463508734e-12	ENSG00000066279.19	1	197084121	197146694	-
FGFR2	-1.4610290578497	1.96795361232513e-17	2.25591199060142e-16	ENSG00000066468.24	10	121478332	121598458	-
TRO	-1.11017550452801	1.93404980167976e-16	2.06536052638981e-15	ENSG00000067445.22	X	54920462	54931431	+
