mirbase_id	log2FoldChange	pvalue	padj	ensembl_gene_id_version	chromosome_name	start_position	end_position	strand
hsa-mir-106a	1.34127114966825	5.08224954413459e-22	1.32576613108201e-20	ENSG00000284157.1	X	134170198	134170278	-
hsa-mir-10a	-1.38564984895967	7.27755579494451e-23	2.0019894395911e-21	ENSG00000284038.1	17	48579838	48579947	-
hsa-mir-122	4.30419617647769	0.000249618915539035	0.00145259007388677	ENSG00000284440.1	18	58451074	58451158	+
hsa-mir-1224	-3.8555785115767	2.72114195689273e-32	1.47038849313525e-30	ENSG00000221120.1	3	184241405	184241489	+
hsa-mir-1251	-2.90861101795615	6.50062005330302e-38	5.78555184743968e-36	ENSG00000221479.3	12	97491909	97491978	+
hsa-mir-1255a	1.05488957323337	3.17101207443833e-06	2.27381102778445e-05	ENSG00000221265.1	4	101330302	101330414	-
hsa-mir-1258	-1.30286055458269	5.37946959801401e-12	7.82609375172615e-11	ENSG00000221240.1	2	179860836	179860908	-
hsa-mir-1269a	2.69124767615586	3.12062803421046e-12	4.58399050073828e-11	ENSG00000221563.1	4	66276824	66276928	+
hsa-mir-1269b	3.34098060397998	8.22644071786397e-05	0.000499863646832457	ENSG00000265503.1	17	12917268	12917342	-
hsa-mir-1275	1.39789710629241	1.36555106929321e-05	9.02105404311246e-05	ENSG00000221697.1	6	33999972	34000051	-
hsa-mir-1284	1.05815774165759	0.00465864226474016	0.0220266429579746	ENSG00000221264.1	3	71541970	71542089	-
hsa-mir-1291	1.80462617272038	2.55053914117935e-11	3.35562236574292e-10	ENSG00000281842.2	12	48654444	48654530	-
hsa-mir-1304	2.04522049749737	2.94233591779037e-10	3.42442634124371e-09	ENSG00000284458.1	11	93733674	93733764	-
hsa-mir-1305	-1.07164644775675	0.000674380790625651	0.00369687730513265	ENSG00000221227.1	4	182169293	182169378	+
hsa-mir-133b	-1.69566895440655	2.47562801051844e-21	6.24270863319066e-20	ENSG00000199080.1	6	52148923	52149041	+
hsa-mir-135b	-1.06715318020096	2.75348780935705e-07	2.31445947530956e-06	ENSG00000199059.3	1	205448302	205448398	-
hsa-mir-136	-1.0934850920933	4.14683614656986e-20	9.95898903136539e-19	ENSG00000207942.2	14	100884702	100884783	+
